id,total_games,win,lose,kill,death,assist,cs,jungle_cs,gold,pick_rate,ban_rate,ward,kills_per_game,deaths_per_game,assists_per_game,wards_per_game,gold_per_game,cs_per_game,jg_cs_per_game,win_rate,region,rank,sumofallgames,name,role1,role2,role3,class_type,archetype_type
1,9949,5194,4755,65485,60214,75623,1491982,49685,109103303,0.0291,0.009013043912475687,19046,6.582068549602975,6.052266559453211,7.6010654337119306,1.9143632525881997,10966.258216906223,149.9630113579254,4.993969243140014,52.20625188461152,na,all,3420598,Annie,Mid,Support,NA,Mage,Burst
2,3851,1841,2010,28279,23927,25813,214101,444467,45579671,0.0113,0.0057174212890352145,9450,7.343287457803168,6.213191378862633,6.702934302778499,2.453908075824461,11835.801350298623,55.596208776941054,115.415995845235,47.805764736432096,na,all,3420598,Olaf,Jungle,NA,NA,Fighter,Diver
3,10159,5065,5094,42730,57989,107909,1207889,31188,96335418,0.0297,0.0032666802694105834,29819,4.206122649867113,5.708140565016242,10.622010040358303,2.93522984545723,9482.765823407815,118.8984151983463,3.069987203464908,49.85726941628113,na,all,3420598,Galio,Mid,Support,NA,Tank,Warden
4,10428,5081,5347,48856,64570,95794,1570617,65740,116119559,0.0305,0.002239374506178351,20658,4.685078634445723,6.19198312236287,9.186229382431915,1.981012658227848,11135.362389719985,150.61536248561566,6.304181051016494,48.72458764863828,na,all,3420598,Twisted Fate,Mid,NA,NA,Mage,Burst
5,10966,5317,5649,72385,69904,84813,468781,1224283,123471528,0.0321,0.017793672501768578,29749,6.6008571949662596,6.374612438446106,7.734178369505745,2.7128396863031186,11259.486412547874,42.74858654021521,111.64353456137151,48.486230165967534,na,all,3420598,Xin Zhao,Jungle,NA,NA,Fighter,Diver
6,12020,6128,5892,73129,67863,58937,2187458,166587,148355906,0.0351,0.012497230058884002,17354,6.083943427620632,5.645840266222962,4.9032445923460894,1.4437603993344426,12342.421464226289,181.98485856905157,13.859151414309483,50.981697171381036,na,all,3420598,Urgot,Top,NA,NA,Fighter,Juggernaut
7,13999,6726,7273,100836,70265,90554,1957280,73216,152929288,0.0409,0.057327110202554835,35180,7.203085934709622,5.019287091935138,6.468604900350025,2.513036645474677,10924.300878634189,139.81570112150868,5.230087863418816,48.04628902064433,na,all,3420598,LeBlanc,Mid,NA,NA,Slayer,Burst
8,20329,10202,10127,134884,103629,110320,3703789,197544,236977526,0.0594,0.06510118950742208,23099,6.635053372030105,5.097594569334448,5.426730286782429,1.1362585469034385,11657.116729794874,182.19238526243296,9.71734959909489,50.184465541836786,na,all,3420598,Vladimir,Mid,Top,NA,Mage,Battlemage
9,12925,6514,6411,78968,73573,119656,443183,1544159,144000092,0.0378,0.03445888702447553,46796,6.109709864603482,5.692301740812379,9.25771760154739,3.620580270793037,11141.206344294003,34.28882011605416,119.47071566731141,50.398452611218566,na,all,3420598,Fiddlesticks,Jungle,NA,NA,Mage,Specialist
10,23677,12282,11395,129065,134050,125719,4605371,474444,291733920,0.0692,0.03572299338012915,26368,5.451070659289606,5.66161253537188,5.309752080077713,1.113654601512016,12321.405583477637,194.50821472314905,20.038180512733877,51.873125818304686,na,all,3420598,Kayle,Top,NA,NA,Marksman,Specialist
11,19527,9692,9835,179209,135984,98748,857445,2393604,246344731,0.0571,0.11876110603175805,30532,9.1774978235264,6.963896143800891,5.056998002765401,1.563578634710913,12615.595380754852,43.910738976801355,122.57919803349209,49.633840323654425,na,all,3420598,Master Yi,Jungle,NA,NA,Slayer,Skirmisher
12,12576,6099,6477,24211,77324,167797,475014,7073,95901678,0.0368,0.007910897434536166,64868,1.9251749363867685,6.1485368956743,13.342636768447838,5.158078880407125,7625.769561068702,37.771469465648856,0.5624204834605598,48.49713740458015,na,all,3420598,Alistar,Support,NA,NA,Tank,Vanguard
13,7633,3251,4382,35326,43678,51600,1392816,114267,85277290,0.0223,0.0021563480938106747,15629,4.628062360801782,5.722258613913271,6.760120529280755,2.0475566618629633,11172.185248264117,182.4729464168741,14.970129699986899,42.59137953622429,na,all,3420598,Ryze,Mid,Top,NA,Mage,Battlemage
